statement_number,start,end,opening,statement_deposits,statement_withdrawals,closing,arithmetic_closing,statement_arithmetic_ok,fy_rows_extracted,fy_debits_extracted,fy_credits_extracted,full_statement_within_fy,transaction_sum_comparison
18,2024-08-13,2024-09-13,4847.22,7937.81,10555.12,2229.91,2229.91,true,58,9989.53,7900.00,true,FAIL
21,2024-11-13,2024-12-13,7437.26,27545.97,16306.12,18677.11,18677.11,true,79,14851.25,27545.93,true,FAIL
22,2024-12-13,2025-01-13,18677.11,25000.13,38109.84,5567.40,5567.40,true,72,37552.93,25000.00,true,FAIL
28,2025-06-13,2025-07-11,3792.95,15099.40,13889.64,5002.71,5002.71,true,29,9581.73,15044.00,false,NOT_COMPARABLE_BOUNDARY_STATEMENT
